mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_rf__max_depth,param_rf__min_samples_leaf,param_rf__min_samples_split,param_rf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.2075972557067871,0.0061999339239989714,0.011574411392211914,0.003729245535504148,10,1,2,100,"{'rf__max_depth': 10, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 2, 'rf__n_estimators': 100}",0.9741935483870968,0.9483870967741935,0.9675324675324676,0.974025974025974,0.9805194805194806,0.9689317134478423,0.011063036715760016,9
0.40378942489624026,0.011768271240447655,0.01966714859008789,0.002456425549068993,10,1,2,200,"{'rf__max_depth': 10, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 2, 'rf__n_estimators': 200}",0.9741935483870968,0.9483870967741935,0.961038961038961,0.9805194805194806,0.987012987012987,0.9702304147465437,0.013891287887816075,3
0.2087932586669922,0.009980993741344885,0.010854196548461915,0.0019462145933017091,10,1,5,100,"{'rf__max_depth': 10, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 5, 'rf__n_estimators': 100}",0.9870967741935484,0.9483870967741935,0.961038961038961,0.974025974025974,0.9805194805194806,0.9702136573104315,0.013902209773705473,6
0.3819397449493408,0.006747198523568178,0.019268321990966796,0.0018453171353003466,10,1,5,200,"{'rf__max_depth': 10, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 5, 'rf__n_estimators': 200}",0.9806451612903225,0.9419354838709677,0.961038961038961,0.9675324675324676,0.987012987012987,0.9676330121491412,0.01580350612912703,15
0.19897255897521973,0.006421178587737543,0.011825847625732421,0.0018034158553993014,10,2,2,100,"{'rf__max_depth': 10, 'rf__min_samples_leaf': 2, 'rf__min_samples_split': 2, 'rf__n_estimators': 100}",0.9741935483870968,0.9290322580645162,0.9675324675324676,0.974025974025974,0.9805194805194806,0.965060745705907,0.01847656470339992,24
0.38927383422851564,0.002193579589138643,0.020298290252685546,0.0009341501273198666,10,2,2,200,"{'rf__max_depth': 10, 'rf__min_samples_leaf': 2, 'rf__min_samples_split': 2, 'rf__n_estimators': 200}",0.9806451612903225,0.9354838709677419,0.9675324675324676,0.9675324675324676,0.987012987012987,0.9676413908671974,0.017767873238643334,14
0.19540982246398925,0.005401675550906081,0.01033935546875,0.0008178464369606749,10,2,5,100,"{'rf__max_depth': 10, 'rf__min_samples_leaf': 2, 'rf__min_samples_split': 5, 'rf__n_estimators': 100}",0.9806451612903225,0.9354838709677419,0.9675324675324676,0.9675324675324676,0.9805194805194806,0.966342689568496,0.016496302177536143,18
0.39255847930908205,0.010324663573581519,0.024727725982666017,0.009325596861885391,10,2,5,200,"{'rf__max_depth': 10, 'rf__min_samples_leaf': 2, 'rf__min_samples_split': 5, 'rf__n_estimators': 200}",0.9806451612903225,0.9354838709677419,0.961038961038961,0.974025974025974,0.9805194805194806,0.966342689568496,0.016999830474597917,18
0.2013545513153076,0.014190847635005912,0.013714838027954101,0.004504226468053617,20,1,2,100,"{'rf__max_depth': 20, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 2, 'rf__n_estimators': 100}",0.9741935483870968,0.9483870967741935,0.961038961038961,0.9805194805194806,0.9805194805194806,0.9689317134478423,0.012494930277485475,9
0.4012625694274902,0.022376662312879044,0.02177596092224121,0.006919184251333305,20,1,2,200,"{'rf__max_depth': 20, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 2, 'rf__n_estimators': 200}",0.9741935483870968,0.9548387096774194,0.9675324675324676,0.9805194805194806,0.987012987012987,0.9728194386258903,0.01108056239977748,1
0.20839328765869142,0.020394320383956537,0.012049055099487305,0.004598435086206441,20,1,5,100,"{'rf__max_depth': 20, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 5, 'rf__n_estimators': 100}",0.9870967741935484,0.9483870967741935,0.961038961038961,0.9675324675324676,0.9805194805194806,0.9689149560117303,0.01378824918204027,12
0.38257174491882323,0.007407657573562144,0.021441650390625,0.0024618226617043023,20,1,5,200,"{'rf__max_depth': 20, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 5, 'rf__n_estimators': 200}",0.9806451612903225,0.9354838709677419,0.961038961038961,0.9675324675324676,0.987012987012987,0.966342689568496,0.017964596778943763,18
0.19264907836914064,0.004264709590015289,0.007471323013305664,0.002585927006121524,20,2,2,100,"{'rf__max_depth': 20, 'rf__min_samples_leaf': 2, 'rf__min_samples_split': 2, 'rf__n_estimators': 100}",0.9741935483870968,0.9290322580645162,0.974025974025974,0.974025974025974,0.9805194805194806,0.9663594470046082,0.018829498139469422,16
0.38829264640808103,0.013478243536164324,0.018468093872070313,0.0023385140864642284,20,2,2,200,"{'rf__max_depth': 20, 'rf__min_samples_leaf': 2, 'rf__min_samples_split': 2, 'rf__n_estimators': 200}",0.9806451612903225,0.9419354838709677,0.974025974025974,0.9675324675324676,0.9805194805194806,0.9689317134478426,0.014340062743251631,7
0.2043609619140625,0.017090340578758235,0.013769960403442383,0.0051889080365675605,20,2,5,100,"{'rf__max_depth': 20, 'rf__min_samples_leaf': 2, 'rf__min_samples_split': 5, 'rf__n_estimators': 100}",0.9870967741935484,0.9419354838709677,0.9675324675324676,0.9675324675324676,0.987012987012987,0.9702220360284877,0.01662100727063724,4
0.3848254680633545,0.0072724146898158265,0.018409204483032227,0.003859860635185526,20,2,5,200,"{'rf__max_depth': 20, 'rf__min_samples_leaf': 2, 'rf__min_samples_split': 5, 'rf__n_estimators': 200}",0.9806451612903225,0.9354838709677419,0.9675324675324676,0.9675324675324676,0.9805194805194806,0.966342689568496,0.016496302177536143,18
0.2005068302154541,0.006317744314936571,0.01359701156616211,0.0025166965375217694,,1,2,100,"{'rf__max_depth': None, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 2, 'rf__n_estimators': 100}",0.9741935483870968,0.9483870967741935,0.961038961038961,0.9805194805194806,0.9805194805194806,0.9689317134478423,0.012494930277485475,9
0.42860894203186034,0.014012881828339417,0.02413783073425293,0.005394403893103875,,1,2,200,"{'rf__max_depth': None, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 2, 'rf__n_estimators': 200}",0.9741935483870968,0.9548387096774194,0.9675324675324676,0.9805194805194806,0.987012987012987,0.9728194386258903,0.01108056239977748,1
0.20827884674072267,0.013235760935729509,0.01509265899658203,0.004395360135326323,,1,5,100,"{'rf__max_depth': None, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 5, 'rf__n_estimators': 100}",0.9870967741935484,0.9483870967741935,0.961038961038961,0.9675324675324676,0.9805194805194806,0.9689149560117303,0.01378824918204027,12
0.4059049129486084,0.017205469298970665,0.01779599189758301,0.0038819677144788993,,1,5,200,"{'rf__max_depth': None, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 5, 'rf__n_estimators': 200}",0.9806451612903225,0.9354838709677419,0.961038961038961,0.9675324675324676,0.987012987012987,0.966342689568496,0.017964596778943763,18
0.20647716522216797,0.009211557733908332,0.008600950241088867,0.0036526329269611774,,2,2,100,"{'rf__max_depth': None, 'rf__min_samples_leaf': 2, 'rf__min_samples_split': 2, 'rf__n_estimators': 100}",0.9741935483870968,0.9290322580645162,0.974025974025974,0.974025974025974,0.9805194805194806,0.9663594470046082,0.018829498139469422,16
0.4379261016845703,0.019094655341244333,0.020911645889282227,0.003786236148103123,,2,2,200,"{'rf__max_depth': None, 'rf__min_samples_leaf': 2, 'rf__min_samples_split': 2, 'rf__n_estimators': 200}",0.9806451612903225,0.9419354838709677,0.974025974025974,0.9675324675324676,0.9805194805194806,0.9689317134478426,0.014340062743251631,7
0.22477846145629882,0.019727430738521293,0.01036372184753418,0.0060575918876644985,,2,5,100,"{'rf__max_depth': None, 'rf__min_samples_leaf': 2, 'rf__min_samples_split': 5, 'rf__n_estimators': 100}",0.9870967741935484,0.9419354838709677,0.9675324675324676,0.9675324675324676,0.987012987012987,0.9702220360284877,0.01662100727063724,4
0.30614004135131834,0.016465284983992592,0.012180471420288086,0.002621792123899267,,2,5,200,"{'rf__max_depth': None, 'rf__min_samples_leaf': 2, 'rf__min_samples_split': 5, 'rf__n_estimators': 200}",0.9806451612903225,0.9354838709677419,0.9675324675324676,0.9675324675324676,0.9805194805194806,0.966342689568496,0.016496302177536143,18
