pH (eau);pH (eau)_Min;pH (eau)_Max;Carbone organique;Carbone organique_Min;Carbone organique_Max;ratio C/N;ratio C/N_Min;ratio C/N_Max;Azote total;Azote total_Min;Azote total_Max;Phosphore total;Phosphore total_Min;Phosphore total_Max;Bore (eau chaude);Bore (eau chaude)_Min;Bore (eau chaude)_Max;Capacité d'échange cationique;Capacité d'échange cationique_Min;Capacité d'échange cationique_Max
5,6;5,1;7;1;1,5;4,5;10;9,5;15,5;0,12;0,2;0,4;45;200;600;0,23;0,16;0,9;3;75;200
6,4;5,1;7;1,7;1,5;4,5;10,4;9,5;15,5;0,17;0,2;0,4;140;200;600;0,28;0,16;0,9;6;75;200
5;5,1;7;1,1;1,5;4,5;9,1;9,5;15,5;0,12;0,2;0,4;107;200;600;0,17;0,16;0,9;1;75;200
6,3;5,1;7;2,4;1,5;4,5;11,1;9,5;15,5;0,21;0,2;0,4;392;200;600;0,3;0,16;0,9;7;75;200
5,9;5,1;7;2,6;1,5;4,5;12,9;9,5;15,5;0,22;0,2;0,4;436;200;600;0,34;0,16;0,9;6;75;200
7;5,1;7;1,5;1,5;4,5;11,6;9,5;15,5;0,18;0,2;0,4;56;200;600;0,11;0,16;0,9;17;75;200
5,9;5,1;7;1,9;1,5;4,5;9,7;9,5;15,5;0,18;0,2;0,4;135;200;600;0,28;0,16;0,9;4;75;200
6,7;5,1;7;1,2;1,5;4,5;10,9;9,5;15,5;0,13;0,2;0,4;65;200;600;0,17;0,16;0,9;5;75;200
6,2;5,1;7;1,5;1,5;4,5;11;9,5;15,5;0,14;0,2;0,4;113;200;600;0,23;0,16;0,9;4;75;200
6,7;5,1;7;1,8;1,5;4,5;10,3;9,5;15,5;0,18;0,2;0,4;307;200;600;0,35;0,16;0,9;9;75;200
6,7;5,1;7;2,2;1,5;4,5;10,5;9,5;15,5;0,22;0,2;0,4;303;200;600;0,37;0,16;0,9;9;75;200
6,1;5,1;7;1,1;1,5;4,5;11,6;9,5;15,5;0,1;0,2;0,4;67;200;600;0,2;0,16;0,9;3;75;200
6,3;5,1;7;1,4;1,5;4,5;10,3;9,5;15,5;0,13;0,2;0,4;142;200;600;0,22;0,16;0,9;5;75;200
6;5,1;7;2,6;1,5;4,5;10,4;9,5;15,5;0,26;0,2;0,4;658;200;600;0,3;0,16;0,9;9;75;200
6,4;5,1;7;1,2;1,5;4,5;10,4;9,5;15,5;0,15;0,2;0,4;10;200;600;0,26;0,16;0,9;7;75;200
6,2;5,1;7;1,5;1,5;4,5;10,6;9,5;15,5;0,15;0,2;0,4;173;200;600;0,23;0,16;0,9;5;75;200
5,3;5,1;7;1;1,5;4,5;11,9;9,5;15,5;0,09;0,2;0,4;19;200;600;0,14;0,16;0,9;2;75;200
6;5,1;7;1,1;1,5;4,5;8,5;9,5;15,5;0,12;0,2;0,4;292;200;600;0,16;0,16;0,9;5;75;200
5,8;5,1;7;1,1;1,5;4,5;9,9;9,5;15,5;0,13;0,2;0,4;288;200;600;0,25;0,16;0,9;5;75;200
6,1;5,1;7;1;1,5;4,5;13;9,5;15,5;0,09;0,2;0,4;131;200;600;0,22;0,16;0,9;3;75;200
5,7;5,1;7;0,9;1,5;4,5;9,6;9,5;15,5;0,1;0,2;0,4;111;200;600;0,16;0,16;0,9;2;75;200
6;5,1;7;1;1,5;4,5;9;9,5;15,5;0,1;0,2;0,4;128;200;600;0,2;0,16;0,9;3;75;200
5,5;5,1;7;0,9;1,5;4,5;10,3;9,5;15,5;0,09;0,2;0,4;243;200;600;0,16;0,16;0,9;2;75;200
6;5,1;7;1;1,5;4,5;9,8;9,5;15,5;0,09;0,2;0,4;109;200;600;0,18;0,16;0,9;3;75;200
5,7;5,1;7;1,1;1,5;4,5;9,5;9,5;15,5;0,12;0,2;0,4;173;200;600;0,18;0,16;0,9;2;75;200
5,6;5,1;7;0,8;1,5;4,5;10,6;9,5;15,5;0,07;0,2;0,4;135;200;600;0,15;0,16;0,9;2;75;200
5,8;5,1;7;1,1;1,5;4,5;9,3;9,5;15,5;0,12;0,2;0,4;62;200;600;0,21;0,16;0,9;3;75;200
5,9;5,1;7;1,1;1,5;4,5;10;9,5;15,5;0,12;0,2;0,4;367;200;600;0,2;0,16;0,9;4;75;200
6,5;5,1;7;1;1,5;4,5;11,8;9,5;15,5;0,1;0,2;0,4;11;200;600;0,25;0,16;0,9;5;75;200
5,5;5,1;7;1;1,5;4,5;11,3;9,5;15,5;0,09;0,2;0,4;81;200;600;0,21;0,16;0,9;1;75;200
6;5,1;7;0,9;1,5;4,5;9,5;9,5;15,5;0,09;0,2;0,4;162;200;600;0,18;0,16;0,9;4;75;200
5,5;5,1;7;0,9;1,5;4,5;9,5;9,5;15,5;0,08;0,2;0,4;94;200;600;0,13;0,16;0,9;2;75;200
5,4;5,1;7;0,8;1,5;4,5;11,8;9,5;15,5;0,07;0,2;0,4;134;200;600;0,15;0,16;0,9;1;75;200
5,7;5,1;7;0,7;1,5;4,5;10,4;9,5;15,5;0,05;0,2;0,4;57;200;600;0,12;0,16;0,9;1;75;200
5,8;5,1;7;1,1;1,5;4,5;11,1;9,5;15,5;0,1;0,2;0,4;135;200;600;0,18;0,16;0,9;2;75;200
6,5;5,1;7;1;1,5;4,5;10,2;9,5;15,5;0,1;0,2;0,4;241;200;600;0,21;0,16;0,9;6;75;200
7,9;5,1;7;2,6;1,5;4,5;11,2;9,5;15,5;0,25;0,2;0,4;586;200;600;0,4;0,16;0,9;6;75;200
5,6;5,1;7;1;1,5;4,5;10,7;9,5;15,5;0,1;0,2;0,4;157;200;600;0,12;0,16;0,9;5;75;200
5,9;5,1;7;1,6;1,5;4,5;9,1;9,5;15,5;0,17;0,2;0,4;517;200;600;0,24;0,16;0,9;7;75;200
6,2;5,1;7;1,1;1,5;4,5;12;9,5;15,5;0,11;0,2;0,4;136;200;600;0,24;0,16;0,9;4;75;200
5,8;5,1;7;0,9;1,5;4,5;10,1;9,5;15,5;0,1;0,2;0,4;220;200;600;0,19;0,16;0,9;2;75;200
5,7;5,1;7;1;1,5;4,5;10,5;9,5;15,5;0,09;0,2;0,4;138;200;600;0,19;0,16;0,9;2;75;200
5,8;5,1;7;1,1;1,5;4,5;9,9;9,5;15,5;0,11;0,2;0,4;186;200;600;0,16;0,16;0,9;3;75;200
6,1;5,1;7;1,2;1,5;4,5;9,7;9,5;15,5;0,13;0,2;0,4;441;200;600;0,22;0,16;0,9;5;75;200
6;5,1;7;1,1;1,5;4,5;10,6;9,5;15,5;0,1;0,2;0,4;131;200;600;0,23;0,16;0,9;3;75;200
5,8;5,1;7;1;1,5;4,5;10,8;9,5;15,5;0,09;0,2;0,4;107;200;600;0,17;0,16;0,9;3;75;200
5,4;5,1;7;1,7;1,5;4,5;11,6;9,5;15,5;0,16;0,2;0,4;506;200;600;0,19;0,16;0,9;2;75;200
6,3;5,1;7;3,4;1,5;4,5;10,1;9,5;15,5;0,3;0,2;0,4;600;200;600;0,34;0,16;0,9;9;75;200
5,2;5,1;7;1,2;1,5;4,5;11;9,5;15,5;0,12;0,2;0,4;135;200;600;0,22;0,16;0,9;1;75;200
5,2;5,1;7;0,9;1,5;4,5;13,2;9,5;15,5;0,08;0,2;0,4;64;200;600;0,18;0,16;0,9;1;75;200
5,6;5,1;7;1,5;1,5;4,5;11,6;9,5;15,5;0,16;0,2;0,4;382;200;600;0,21;0,16;0,9;3;75;200
6,1;5,1;7;1,2;1,5;4,5;9,3;9,5;15,5;0,11;0,2;0,4;112;200;600;0,22;0,16;0,9;3;75;200
5,5;5,1;7;2,3;1,5;4,5;11;9,5;15,5;0,22;0,2;0,4;422;200;600;0,24;0,16;0,9;3;75;200
6;5,1;7;1,7;1,5;4,5;10,6;9,5;15,5;0,16;0,2;0,4;188;200;600;0,24;0,16;0,9;4;75;200
5,7;5,1;7;1,8;1,5;4,5;10,1;9,5;15,5;0,2;0,2;0,4;396;200;600;0,24;0,16;0,9;2;75;200
6,4;5,1;7;2,5;1,5;4,5;9,6;9,5;15,5;0,25;0,2;0,4;571;200;600;0,33;0,16;0,9;8;75;200
5,7;5,1;7;1,7;1,5;4,5;9,4;9,5;15,5;0,16;0,2;0,4;226;200;600;0,25;0,16;0,9;3;75;200
5,4;5,1;7;1,6;1,5;4,5;11,4;9,5;15,5;0,16;0,2;0,4;187;200;600;0,24;0,16;0,9;1;75;200
5,3;5,1;7;1,2;1,5;4,5;11,5;9,5;15,5;0,11;0,2;0,4;185;200;600;0,18;0,16;0,9;1;75;200
5,3;5,1;7;1,3;1,5;4,5;10,4;9,5;15,5;0,14;0,2;0,4;241;200;600;0,21;0,16;0,9;1;75;200
4,7;5,1;7;2;1,5;4,5;14,8;9,5;15,5;0,17;0,2;0,4;252;200;600;0,23;0,16;0,9;1;75;200
6;5,1;7;1,4;1,5;4,5;9,7;9,5;15,5;0,15;0,2;0,4;270;200;600;0,22;0,16;0,9;3;75;200
5,6;5,1;7;1,7;1,5;4,5;11,6;9,5;15,5;0,18;0,2;0,4;306;200;600;0,23;0,16;0,9;2;75;200
6;5,1;7;1;1,5;4,5;10,4;9,5;15,5;0,09;0,2;0,4;60;200;600;0,19;0,16;0,9;3;75;200
5,4;5,1;7;1,2;1,5;4,5;11;9,5;15,5;0,12;0,2;0,4;111;200;600;0,2;0,16;0,9;1;75;200
5,6;5,1;7;1,1;1,5;4,5;11,3;9,5;15,5;0,11;0,2;0,4;200;200;600;0,2;0,16;0,9;1;75;200
6;5,1;7;2,3;1,5;4,5;11,8;9,5;15,5;0,21;0,2;0,4;574;200;600;0,26;0,16;0,9;5;75;200
5,8;5,1;7;1,3;1,5;4,5;10;9,5;15,5;0,13;0,2;0,4;106;200;600;0,25;0,16;0,9;2;75;200
5,7;5,1;7;2,7;1,5;4,5;10,8;9,5;15,5;0,26;0,2;0,4;434;200;600;0,32;0,16;0,9;3;75;200
5,4;5,1;7;1;1,5;4,5;9,9;9,5;15,5;0,09;0,2;0,4;42;200;600;0,18;0,16;0,9;2;75;200
6;5,1;7;2;1,5;4,5;11,6;9,5;15,5;0,2;0,2;0,4;260;200;600;0,27;0,16;0,9;4;75;200
5,3;5,1;7;2,3;1,5;4,5;11,5;9,5;15,5;0,23;0,2;0,4;431;200;600;0,27;0,16;0,9;3;75;200
5,6;5,1;7;2,7;1,5;4,5;10,6;9,5;15,5;0,28;0,2;0,4;538;200;600;0,21;0,16;0,9;5;75;200
6,6;5,1;7;2,7;1,5;4,5;9,7;9,5;15,5;0,27;0,2;0,4;875;200;600;0,27;0,16;0,9;17;75;200
5,8;5,1;7;2,4;1,5;4,5;10,1;9,5;15,5;0,25;0,2;0,4;639;200;600;0,26;0,16;0,9;6;75;200
6,4;5,1;7;2,3;1,5;4,5;10,1;9,5;15,5;0,23;0,2;0,4;373;200;600;0,29;0,16;0,9;8;75;200
6;5,1;7;1,3;1,5;4,5;10,5;9,5;15,5;0,14;0,2;0,4;10;200;600;0,16;0,16;0,9;6;75;200
6,6;5,1;7;1,4;1,5;4,5;8,6;9,5;15,5;0,16;0,2;0,4;79;200;600;0,24;0,16;0,9;6;75;200
6,5;5,1;7;1,4;1,5;4,5;10,3;9,5;15,5;0,15;0,2;0,4;231;200;600;0,21;0,16;0,9;6;75;200
5,8;5,1;7;1;1,5;4,5;10,5;9,5;15,5;0,1;0,2;0,4;108;200;600;0,18;0,16;0,9;2;75;200
5,5;5,1;7;1,3;1,5;4,5;11,4;9,5;15,5;0,11;0,2;0,4;156;200;600;0,17;0,16;0,9;1;75;200
5,4;5,1;7;0,7;1,5;4,5;11,4;9,5;15,5;0,07;0,2;0,4;159;200;600;0,15;0,16;0,9;2;75;200
6,4;5,1;7;1,6;1,5;4,5;10,9;9,5;15,5;0,15;0,2;0,4;269;200;600;0,23;0,16;0,9;5;75;200
5,3;5,1;7;0,9;1,5;4,5;13;9,5;15,5;0,08;0,2;0,4;112;200;600;0,14;0,16;0,9;1;75;200
6,1;5,1;7;1,7;1,5;4,5;8,7;9,5;15,5;0,19;0,2;0,4;90;200;600;0,21;0,16;0,9;6;75;200
5,5;5,1;7;0,7;1,5;4,5;11,1;9,5;15,5;0,06;0,2;0,4;10;200;600;0,14;0,16;0,9;1;75;200
5,2;5,1;7;0,8;1,5;4,5;8,3;9,5;15,5;0,09;0,2;0,4;197;200;600;0,18;0,16;0,9;2;75;200
5,7;5,1;7;1,1;1,5;4,5;11,6;9,5;15,5;0,11;0,2;0,4;172;200;600;0,18;0,16;0,9;2;75;200
6,5;5,1;7;1,9;1,5;4,5;11,5;9,5;15,5;0,17;0,2;0,4;224;200;600;0,24;0,16;0,9;4;75;200
5,1;5,1;7;0,7;1,5;4,5;12,8;9,5;15,5;0,05;0,2;0,4;123;200;600;0,13;0,16;0,9;1;75;200
4,8;5,1;7;0,8;1,5;4,5;11,9;9,5;15,5;0,08;0,2;0,4;364;200;600;0,09;0,16;0,9;1;75;200
5,1;5,1;7;1;1,5;4,5;11,6;9,5;15,5;0,09;0,2;0,4;136;200;600;0,13;0,16;0,9;1;75;200
5,6;5,1;7;1,3;1,5;4,5;11,5;9,5;15,5;0,11;0,2;0,4;143;200;600;0,2;0,16;0,9;2;75;200
5,7;5,1;7;1;1,5;4,5;10,5;9,5;15,5;0,09;0,2;0,4;60;200;600;0,18;0,16;0,9;2;75;200
5,8;5,1;7;0,9;1,5;4,5;10,7;9,5;15,5;0,08;0,2;0,4;74;200;600;0,19;0,16;0,9;3;75;200
5,6;5,1;7;1;1,5;4,5;12;9,5;15,5;0,09;0,2;0,4;359;200;600;0,18;0,16;0,9;1;75;200
5,8;5,1;7;1,1;1,5;4,5;10,4;9,5;15,5;0,11;0,2;0,4;137;200;600;0,2;0,16;0,9;2;75;200
5,8;5,1;7;1,1;1,5;4,5;10,7;9,5;15,5;0,1;0,2;0,4;209;200;600;0,2;0,16;0,9;2;75;200
5,9;5,1;7;0,9;1,5;4,5;11,2;9,5;15,5;0,08;0,2;0,4;194;200;600;0,19;0,16;0,9;3;75;200
5,8;5,1;7;0,8;1,5;4,5;10,4;9,5;15,5;0,08;0,2;0,4;84;200;600;0,19;0,16;0,9;2;75;200
6,4;5,1;7;0,9;1,5;4,5;9,7;9,5;15,5;0,09;0,2;0,4;90;200;600;0,2;0,16;0,9;3;75;200
6,1;5,1;7;1,3;1,5;4,5;10,1;9,5;15,5;0,13;0,2;0,4;100;200;600;0,24;0,16;0,9;4;75;200
5,9;5,1;7;0,7;1,5;4,5;11;9,5;15,5;0,07;0,2;0,4;10;200;600;0,16;0,16;0,9;2;75;200
5,6;5,1;7;1,2;1,5;4,5;10,7;9,5;15,5;0,11;0,2;0,4;155;200;600;0,19;0,16;0,9;1;75;200
6,1;5,1;7;1,4;1,5;4,5;9,6;9,5;15,5;0,14;0,2;0,4;285;200;600;0,28;0,16;0,9;5;75;200
5,7;5,1;7;0,9;1,5;4,5;9,8;9,5;15,5;0,09;0,2;0,4;36;200;600;0,15;0,16;0,9;1;75;200
6,2;5,1;7;0,9;1,5;4,5;11,1;9,5;15,5;0,09;0,2;0,4;157;200;600;0,19;0,16;0,9;3;75;200
5,9;5,1;7;1,9;1,5;4,5;11,3;9,5;15,5;0,18;0,2;0,4;558;200;600;0,31;0,16;0,9;5;75;200
6,5;5,1;7;1,1;1,5;4,5;11,1;9,5;15,5;0,1;0,2;0,4;92;200;600;0,2;0,16;0,9;3;75;200
6,5;5,1;7;1,8;1,5;4,5;11,7;9,5;15,5;0,17;0,2;0,4;264;200;600;0,26;0,16;0,9;5;75;200
6,1;5,1;7;1,3;1,5;4,5;8,9;9,5;15,5;0,14;0,2;0,4;234;200;600;0,26;0,16;0,9;3;75;200
5,9;5,1;7;1,6;1,5;4,5;10,1;9,5;15,5;0,16;0,2;0,4;455;200;600;0,26;0,16;0,9;6;75;200
5,9;5,1;7;1,4;1,5;4,5;9,6;9,5;15,5;0,14;0,2;0,4;101;200;600;0,24;0,16;0,9;2;75;200
7,1;5,1;7;2,8;1,5;4,5;9,2;9,5;15,5;0,27;0,2;0,4;677;200;600;0,29;0,16;0,9;13;75;200
7,1;5,1;7;2,1;1,5;4,5;9,4;9,5;15,5;0,2;0,2;0,4;78;200;600;0,38;0,16;0,9;8;75;200
6,7;5,1;7;1,7;1,5;4,5;9,3;9,5;15,5;0,2;0,2;0,4;944;200;600;0,27;0,16;0,9;13;75;200
6,7;5,1;7;2,7;1,5;4,5;11,3;9,5;15,5;0,23;0,2;0,4;728;200;600;0,34;0,16;0,9;13;75;200
5,9;5,1;7;0,8;1,5;4,5;10,1;9,5;15,5;0,08;0,2;0,4;159;200;600;0,18;0,16;0,9;2;75;200
6,7;5,1;7;1,5;1,5;4,5;10,8;9,5;15,5;0,14;0,2;0,4;316;200;600;0,25;0,16;0,9;7;75;200
6,9;5,1;7;2;1,5;4,5;9,5;9,5;15,5;0,18;0,2;0,4;716;200;600;0,24;0,16;0,9;14;75;200
6,4;5,1;7;1,8;1,5;4,5;10,6;9,5;15,5;0,16;0,2;0,4;290;200;600;0,3;0,16;0,9;6;75;200
6,6;5,1;7;1,4;1,5;4,5;9;9,5;15,5;0,16;0,2;0,4;1019;200;600;0,27;0,16;0,9;13;75;200
7,7;5,1;7;3,4;1,5;4,5;12,2;9,5;15,5;0,36;0,2;0,4;255;200;600;0,43;0,16;0,9;15;75;200
7,4;5,1;7;2,1;1,5;4,5;9,4;9,5;15,5;0,23;0,2;0,4;1026;200;600;0,36;0,16;0,9;11;75;200
6,4;5,1;7;1,8;1,5;4,5;11,4;9,5;15,5;0,16;0,2;0,4;136;200;600;0,25;0,16;0,9;7;75;200
6,9;5,1;7;2,6;1,5;4,5;9,7;9,5;15,5;0,25;0,2;0,4;957;200;600;0,28;0,16;0,9;13;75;200
6,1;5,1;7;2,1;1,5;4,5;12,2;9,5;15,5;0,16;0,2;0,4;389;200;600;0,26;0,16;0,9;4;75;200
7,4;5,1;7;2,4;1,5;4,5;9,1;9,5;15,5;0,27;0,2;0,4;901;200;600;0,34;0,16;0,9;12;75;200
6,2;5,1;7;1,3;1,5;4,5;10,7;9,5;15,5;0,11;0,2;0,4;325;200;600;0,24;0,16;0,9;4;75;200
6,3;5,1;7;0,9;1,5;4,5;9,9;9,5;15,5;0,09;0,2;0,4;119;200;600;0,22;0,16;0,9;4;75;200
6,6;5,1;7;1,5;1,5;4,5;10,8;9,5;15,5;0,13;0,2;0,4;202;200;600;0,25;0,16;0,9;6;75;200
6;5,1;7;1,8;1,5;4,5;11,4;9,5;15,5;0,16;0,2;0,4;329;200;600;0,19;0,16;0,9;5;75;200
6,5;5,1;7;1,2;1,5;4,5;10,6;9,5;15,5;0,13;0,2;0,4;127;200;600;0,22;0,16;0,9;6;75;200
7,5;5,1;7;2,7;1,5;4,5;9,7;9,5;15,5;0,28;0,2;0,4;580;200;600;0,43;0,16;0,9;15;75;200
7,1;5,1;7;3;1,5;4,5;10,7;9,5;15,5;0,31;0,2;0,4;172;200;600;0,45;0,16;0,9;14;75;200
6;5,1;7;1,3;1,5;4,5;10,4;9,5;15,5;0,15;0,2;0,4;127;200;600;0,27;0,16;0,9;5;75;200
6,9;5,1;7;1,6;1,5;4,5;10,3;9,5;15,5;0,14;0,2;0,4;254;200;600;0,24;0,16;0,9;7;75;200
7,3;5,1;7;4,1;1,5;4,5;10,3;9,5;15,5;0,36;0,2;0,4;315;200;600;0,5;0,16;0,9;13;75;200
6,2;5,1;7;1,1;1,5;4,5;11,1;9,5;15,5;0,11;0,2;0,4;141;200;600;0,2;0,16;0,9;3;75;200
7,3;5,1;7;1,9;1,5;4,5;9,4;9,5;15,5;0,2;0,2;0,4;681;200;600;0,34;0,16;0,9;12;75;200
6,5;5,1;7;1,6;1,5;4,5;9,2;9,5;15,5;0,15;0,2;0,4;79;200;600;0,28;0,16;0,9;6;75;200
6,4;5,1;7;1,3;1,5;4,5;11,6;9,5;15,5;0,11;0,2;0,4;135;200;600;0,22;0,16;0,9;5;75;200
7,3;5,1;7;1,5;1,5;4,5;10,2;9,5;15,5;0,15;0,2;0,4;267;200;600;0,22;0,16;0,9;5;75;200
5,6;5,1;7;1,2;1,5;4,5;10,9;9,5;15,5;0,12;0,2;0,4;127;200;600;0,2;0,16;0,9;3;75;200
6,1;5,1;7;0,8;1,5;4,5;11,2;9,5;15,5;0,1;0,2;0,4;235;200;600;0,18;0,16;0,9;3;75;200
6,6;5,1;7;1,5;1,5;4,5;12,5;9,5;15,5;0,15;0,2;0,4;124;200;600;0,26;0,16;0,9;4;75;200
5,7;5,1;7;1;1,5;4,5;11,1;9,5;15,5;0,1;0,2;0,4;160;200;600;0,18;0,16;0,9;2;75;200
5;5,1;7;0,9;1,5;4,5;10,7;9,5;15,5;0,09;0,2;0,4;166;200;600;0,16;0,16;0,9;1;75;200
6,2;5,1;7;1;1,5;4,5;11,6;9,5;15,5;0,11;0,2;0,4;168;200;600;0,18;0,16;0,9;4;75;200
6;5,1;7;0,7;1,5;4,5;12,5;9,5;15,5;0,07;0,2;0,4;79;200;600;0,16;0,16;0,9;2;75;200
6,8;5,1;7;1,6;1,5;4,5;11,5;9,5;15,5;0,15;0,2;0,4;222;200;600;0,29;0,16;0,9;8;75;200
6,2;5,1;7;0,8;1,5;4,5;9,8;9,5;15,5;0,09;0,2;0,4;107;200;600;0,19;0,16;0,9;4;75;200
6;5,1;7;1,5;1,5;4,5;9,8;9,5;15,5;0,15;0,2;0,4;182;200;600;0,23;0,16;0,9;4;75;200
5,5;5,1;7;2,6;1,5;4,5;10,3;9,5;15,5;0,24;0,2;0,4;452;200;600;0,3;0,16;0,9;4;75;200
5,7;5,1;7;2,2;1,5;4,5;11,7;9,5;15,5;0,2;0,2;0,4;310;200;600;0,22;0,16;0,9;4;75;200
5,6;5,1;7;1,7;1,5;4,5;11,8;9,5;15,5;0,16;0,2;0,4;359;200;600;0,21;0,16;0,9;2;75;200
5,9;5,1;7;0,8;1,5;4,5;12,3;9,5;15,5;0,08;0,2;0,4;211;200;600;0,16;0,16;0,9;3;75;200
6,8;5,1;7;1,4;1,5;4,5;11,5;9,5;15,5;0,13;0,2;0,4;238;200;600;0,22;0,16;0,9;6;75;200
5,9;5,1;7;1,4;1,5;4,5;10,9;9,5;15,5;0,14;0,2;0,4;255;200;600;0,23;0,16;0,9;3;75;200
5,5;5,1;7;1,8;1,5;4,5;10,5;9,5;15,5;0,16;0,2;0,4;233;200;600;0,2;0,16;0,9;1;75;200
5;5,1;7;1;1,5;4,5;11,4;9,5;15,5;0,1;0,2;0,4;100;200;600;0,18;0,16;0,9;1;75;200
6,1;5,1;7;1,8;1,5;4,5;10,8;9,5;15,5;0,19;0,2;0,4;339;200;600;0,27;0,16;0,9;4;75;200
